url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
correoargentino.com.ar,18864,18864,49,2.44,1.83,Shopping
classifiedads.com,18869,18869,38.5,4.21,4.01,Shopping
aescripts.com,18879,18879,41,3.49,3.1,Shopping
netsea.jp,18893,18893,31,8.2,9.7,Shopping
bartarinha.com,18895,18895,56.32,2.96,1.93,Shopping
komplett.se,18900,18900,36.5,4.85,4.87,Shopping
decathlon.co.uk,18901,18901,37,4.59,4.5,Shopping
juno.co.uk,18917,18917,36,5.04,5.1,Shopping
lajumate.ro,18929,18929,35,5.46,5.73,Shopping
bva-auctions.com,18936,18936,38.65,18.43,17.51,Shopping
coolwinks.com,18949,18949,31.5,7.66,8.92,Shopping
saatchiart.com,18950,18950,40,3.68,3.4,Shopping
homebook.pl,18957,18957,42.9,3.16,2.7,Shopping
shopspring.com,18962,18962,42,3.3,2.9,Shopping
zjtcn.com,18990,18990,44,3,2.5,Shopping
lenta.com,18991,18991,38,4.24,4.1,Shopping
target.com.au,18996,18996,39.2,3.9,3.65,Shopping
mister-auto.com,19001,19001,36,4.78,4.8,Shopping
kafeteria.pl,19002,19002,45,2.82,2.3,Shopping
letu.ru,19011,19011,38.9,3.98,3.76,Shopping
menswearhouse.com,19024,19024,38.4,4.1,3.92,Shopping
greyscalegorilla.com,19028,19028,42,3.29,2.9,Shopping
zalando-lounge.de,19035,19035,40.2,3.63,3.3,Shopping
zumba.com,19066,19066,33,6.61,7.4,Shopping
gotoshop.net.ua,19070,19070,40.7,3.51,3.16,Shopping
kingstone.com.tw,19078,19078,39.6,3.76,3.5,Shopping
feelunique.com,19079,19079,34,5.81,6.3,Shopping
decathlon.tmall.com,19081,19081,39,3.9,3.7,Shopping
nojima.co.jp,19085,19085,36,4.9,5,Shopping
ao.com,19086,19086,37,4.48,4.4,Shopping
oakley.com,19096,19096,37,4.46,4.4,Shopping
mydailymagazine.com,19110,19110,52,2.1,1.5,Shopping
thegoodguys.com.au,19147,19147,41.3,3.34,2.97,Shopping
17house.com,19154,19154,49,2.3,1.8,Shopping
telemart.pk,19164,19164,60.6,4.2,2.55,Shopping
karaoke-version.com,19182,19182,36,4.64,4.7,Shopping
credicard.com.br,19186,19186,40.9,3.4,3.05,Shopping
neb.com,19198,19198,42,3.11,2.7,Shopping
autoanything.com,19200,19200,44.4,2.81,2.32,Shopping
coolstuffinc.com,19230,19230,38.9,3.82,3.61,Shopping
vatgia.com,19231,19231,41.8,3.19,2.8,Shopping
kloomba.com,19235,19235,28.7,10,12.8,Shopping
emp.de,19251,19251,35,5.27,5.6,Shopping
pepboys.com,19268,19268,37.3,4.24,4.18,Shopping
24sevres.com,19279,19279,37,4.5,4.5,Shopping
gouwubang.com,19297,19297,51,2.1,1.6,Shopping
lianshang.com,19306,19306,39,3.8,3.5,Shopping
smartthings.com,19317,19317,36.3,4.52,4.57,Shopping
onwomen.ru,19322,19322,57.6,1.75,1.11,Shopping
size.co.uk,19331,19331,38,4,3.9,Shopping
officedepot.com.mx,19336,19336,38.1,3.94,3.79,Shopping
pricebaba.com,19338,19338,46.9,2.46,1.92,Shopping
monitoringminecraft.ru,19357,19357,40.9,3.28,2.94,Shopping
venus.com,19360,19360,42,3.15,2.8,Shopping
chinasexq.com,19370,19370,40,3.6,3.3,Shopping
celine.com,19375,19375,36,4.6,4.7,Shopping
charter724.ir,19378,19378,26,14.4,20,Shopping
giglio.com,19383,19383,36,4.4,4.5,Shopping
titan-man.me,19388,19388,53.6,1.92,1.3,Shopping
bonprix.pl,19397,19397,33,5.93,6.6,Shopping
lyst.co.uk,19406,19406,43,2.9,2.5,Shopping
limango.de,19424,19424,34,5.16,5.5,Shopping
bestreviews.com,19427,19427,55,1.84,1.2,Shopping
allbeauty.com,19439,19439,52.26,7.09,4.98,Shopping
itemmania.com,19444,19444,29,9.32,12,Shopping
cropp.com,19492,19492,32.1,6.28,7.17,Shopping
lento.pl,19497,19497,36,4.44,4.5,Shopping
rond.ir,19503,19503,33.6,5.42,5.91,Shopping
chrysler.com,19505,19505,39.6,3.46,3.21,Shopping
eca.ir,19519,19519,36.2,4.35,4.4,Shopping
walletone.com,19525,19525,39.9,3.37,3.1,Shopping
kfzteile24.de,19535,19535,34,5.22,5.6,Shopping
123kubo.org,19568,19568,41,3.17,2.9,Shopping
jib.co.th,19585,19585,33.7,5.3,5.78,Shopping
abebooks.co.uk,19594,19594,45,2.59,2.1,Shopping
mazanex.com,19595,19595,58.5,1.64,1.03,Shopping
kasta.ua,19608,19608,38.4,3.66,3.49,Shopping
kalunga.com.br,19616,19616,38.1,3.74,3.6,Shopping
trekkinn.com,19630,19630,36,4.41,4.5,Shopping
zhe800.com,19639,19639,33,5.5,6.1,Shopping
goodinfo.tw,19663,19663,43,2.78,2.37,Shopping
prensaescrita.com,19716,19716,53.2,1.86,1.28,Shopping
wildberries.kz,19726,19726,28.7,8.78,11.2,Shopping
koton.com,19740,19740,31.6,6.26,7.27,Shopping
hpplus.jp,19746,19746,40,3.2,2.9,Shopping
totalcar.hu,19748,19748,44.6,2.53,2.09,Shopping
okidoki.ee,19752,19752,30.9,6.77,8.05,Shopping
sofmap.com,19755,19755,42,2.8,2.5,Shopping
golfwrx.com,19762,19762,37.4,3.81,3.74,Shopping
wook.pt,19786,19786,43,2.7,2.4,Shopping
webcamera.pl,19790,19790,39.2,3.36,3.1,Shopping
pcdiga.com,19795,19795,43.59,8.51,7.165,Shopping
sherwin-williams.com,19803,19803,36,4.19,4.3,Shopping
jiashi.tmall.com,19848,19848,58,1.6,1,Shopping
flagma.ua,19849,19849,40,3.17,2.91,Shopping
auto-data.net,19862,19862,35.1,4.42,4.63,Shopping
byrdie.com,19868,19868,40.9,3,2.69,Shopping
bike-components.de,19880,19880,35,4.55,4.8,Shopping
vouchercodes.co.uk,19881,19881,48.2,2.14,1.6,Shopping
chobirich.com,19888,19888,35,4.4,4.6,Shopping
fix-price.ru,19902,19902,31.6,5.99,6.95,Shopping
directindustry.com,19924,19924,42,2.8,2.4,Shopping
goedekers.com,19942,19942,67.47,4.52,2.46,Shopping
honda2wheelersindia.com,19947,19947,37.2,3.69,3.64,Shopping
yuanlin.com,19953,19953,40,3.1,2.8,Shopping
ihergo.com,19968,19968,55.33,9.45,6.27,Shopping
lemeids.com,19970,19970,36,3.9,4,Shopping
mouser.cn,19981,19981,32,5.5,6.3,Shopping
promoqui.it,20004,20004,42,2.77,2.4,Shopping
aeonnetshop.com,20005,20005,28,8.9,12,Shopping
luckyvitamin.com,20010,20010,39,3.34,3.2,Shopping
ln-cc.com,20011,20011,37,3.7,3.7,Shopping
biltema.se,20017,20017,35.4,4.17,4.3,Shopping
vogue.co.uk,20020,20020,47,2.16,1.7,Shopping
petrovich.ru,20025,20025,34.8,4.35,4.58,Shopping
price.ru,20051,20051,48,2.09,1.6,Shopping
repairpal.com,20054,20054,47.6,2.12,1.63,Shopping
twc.com,20086,20086,37.1,3.62,3.59,Shopping
bhinneka.com,20098,20098,42.2,2.67,2.32,Shopping
