url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
daleysfruit.com.au,163772,163772,3.4,0.28,2.9,Shopping
salexy.kz,164142,164142,3.9,0.21,1.9,Shopping
foot.fr,164486,164486,3.4,0.28,3,Shopping
coininvest.com,164535,164535,3.5,0.26,2.7,Shopping
mannlakeltd.com,164580,164580,2.8,0.51,6.8,Shopping
bulkbarn.ca,164842,164842,3.7,0.23,2.3,Shopping
zooplus.se,165064,165064,2.7,0.56,7.7,Shopping
vainillascrap.com,165717,165717,1.9,2.2,42,Shopping
takrazm.com,166240,166240,2.8,0.45,6,Shopping
brice.fr,166709,166709,3.2,0.31,3.5,Shopping
deagostini.jp,166785,166785,3.5,0.25,2.6,Shopping
replacedirect.nl,167435,167435,3.1,0.33,3.9,Shopping
gruenwelt.de,168039,168039,3.6,0.22,2.3,Shopping
burgertuning.com,168718,168718,3.3,0.27,2.9,Shopping
mydizajn.ru,169686,169686,4.4,0.15,1.3,Shopping
poshvu.ru,170050,170050,3,0.34,4.2,Shopping
pepa.cz,170289,170289,3.4,0.24,2.6,Shopping
avasflowers.net,171053,171053,3.3,0.26,3,Shopping
revlon.com,171258,171258,3.7,0.2,2,Shopping
topcashback.in,171314,171314,2.8,0.38,4.9,Shopping
nebo.ru,171348,171348,3.2,0.28,3.2,Shopping
countryrebel.com,171388,171388,4,0.17,1.5,Shopping
astratex.sk,171402,171402,2.9,0.37,4.8,Shopping
apexembdesigns.com,171664,171664,2.8,0.41,5.4,Shopping
g-central.com,171974,171974,3.7,0.19,1.9,Shopping
bikester.be,172021,172021,2.9,0.35,4.5,Shopping
jmoashop.jp,172293,172293,2.7,0.43,5.9,Shopping
nuxe.com,172554,172554,2.9,0.34,4.3,Shopping
maxitoys.fr,172611,172611,3.6,0.2,2.1,Shopping
correomagico.com,173061,173061,2.9,0.32,4,Shopping
gocart.jp,173351,173351,2.9,0.32,4.1,Shopping
amway.kz,173600,173600,2.5,0.53,7.8,Shopping
bitvalor.com,173942,173942,4.7,0.13,1,Shopping
nashemnenie.com,173982,173982,4.5,0.13,1.1,Shopping
safirstores.com,174646,174646,3,0.3,3.8,Shopping
mountainhardwear.jp,174782,174782,2.6,0.47,6.7,Shopping
artsycraftsydad.com,174825,174825,2.5,0.5,7.3,Shopping
speedcube.com.au,174929,174929,4.1,0.15,1.4,Shopping
kieskeurig.be,174992,174992,3.7,0.19,1.9,Shopping
couponandgo.com,175913,175913,4.1,0.15,1.3,Shopping
bricodepot.ro,177042,177042,2.6,0.41,5.9,Shopping
fmexpressions.com,177644,177644,2.9,0.31,4,Shopping
songofstyle.com,178234,178234,3.3,0.21,2.4,Shopping
aafnation.com,178703,178703,3.1,0.25,3,Shopping
ir-xe.com,178956,178956,3.3,0.21,2.3,Shopping
argentdubeurre.com,179758,179758,4,0.14,1.3,Shopping
postfreeadshere.com,180217,180217,2.7,0.35,4.8,Shopping
landwarriorairsoft.com,180687,180687,3,0.25,3.1,Shopping
homeless.co.il,181908,181908,3.1,0.23,2.7,Shopping
cambond.myshopify.com,182120,182120,3,0.25,3,Shopping
svet-svietidiel.sk,182240,182240,2.8,0.3,3.9,Shopping
carved.com,182718,182718,2.9,0.25,3.1,Shopping
nogameb.com,182752,182752,3.5,0.17,1.8,Shopping
technopro-online.com,182862,182862,3.3,0.19,2.1,Shopping
diskomir.ru,183798,183798,2.6,0.33,4.6,Shopping
4sedan.com,183826,183826,2.5,0.38,5.5,Shopping
bepal.net,184047,184047,3.4,0.18,1.9,Shopping
ultrasport.ru,185227,185227,3.2,0.2,2.3,Shopping
leatherology.com,185517,185517,2.5,0.36,5.3,Shopping
reppa.de,186154,186154,2.6,0.32,4.5,Shopping
japan-ave.com,187474,187474,2.6,0.32,5,Shopping
lehmans.com,187539,187539,2.8,0.25,3.2,Shopping
visitlink.net,187614,187614,3.9,0.13,1.3,Shopping
thewarstore.com,187823,187823,2.5,0.33,4.7,Shopping
giftsnideas.com,187855,187855,2.5,0.35,5.1,Shopping
allfordj.ru,188437,188437,3.2,0.19,2.2,Shopping
hondaworld.ru,188614,188614,2.6,0.31,4.4,Shopping
body-attack.de,188647,188647,2.8,0.25,3.3,Shopping
andelemandele.lv,188664,188664,1.9,0.89,17,Shopping
pixajoy.com.my,189358,189358,2.4,0.39,6,Shopping
get.com,190249,190249,3.6,0.14,1.5,Shopping
alisovet.ru,190252,190252,3.8,0.13,1.3,Shopping
yomonda.de,190400,190400,2.6,0.28,3.9,Shopping
rcscomponents.kiev.ua,190445,190445,3.1,0.19,2.3,Shopping
svensktkosttillskott.se,190675,190675,2.8,0.25,3.3,Shopping
hyperyek.com,191227,191227,2.3,0.42,6.9,Shopping
sonnettech.com,191320,191320,3,0.19,2.3,Shopping
ona-znaet.ru,192811,192811,4,0.12,1.1,Shopping
rondomusic.com,194301,194301,2.7,0.24,3.2,Shopping
bitcash.com,194766,194766,2,0.55,9.8,Shopping
sims-real4.ru,195148,195148,2.3,0.35,5.5,Shopping
iv.lt,195720,195720,2.6,0.27,3.8,Shopping
sanitaire-distribution.fr,195867,195867,3.1,0.18,2.1,Shopping
bjdclub.ru,196659,196659,2.6,0.25,3.6,Shopping
a-alvarez.com,196897,196897,3.4,0.14,1.5,Shopping
petmountain.com,197720,197720,2.9,0.19,2.5,Shopping
beautymuscle.net,197868,197868,2.4,0.31,4.8,Shopping
