url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code,dp,deceptive
lightinthebox.com,2279,2279,292.0,35.7,4.49,Shopping,en,True,False
fitbit.com,2296,2296,308.0,30.2,3.59,Shopping,en,False,False
rakuten.com,2398,2398,318.0,24.7,2.85,Shopping,en,False,False
mydala.com,2521,2521,597.29,26.99,1.66,Shopping,en,False,False
cvs.com,2529,2529,304.0,23.3,2.81,Shopping,en,False,False
gucci.com,2534,2534,240.0,44.6,6.82,Shopping,en,False,False
officedepot.com,2547,2547,270.0,31.0,4.22,Shopping,en,False,False
sears.com,2560,2560,291.0,24.9,3.13,Shopping,en,False,False
dickssportinggoods.com,2589,2589,263.0,31.2,4.35,Shopping,en,True,False
6pm.com,2688,2688,233.0,39.9,6.27,Shopping,en,True,False
nordstromrack.com,2734,2734,238.0,35.4,5.47,Shopping,en,True,False
trademe.co.nz,2798,2798,200.0,56.85,10.4,Shopping,en,False,False
jumia.com.eg,2826,2826,250.0,26.9,3.95,Shopping,en,False,False
bestbuy.ca,2880,2880,246.0,26.4,3.95,Shopping,en,False,False
lazada.vn,2897,2897,217.0,37.6,6.36,Shopping,en,False,False
rei.com,2999,2999,230.0,27.5,4.38,Shopping,en,False,False
colourpop.com,3008,3008,315.79,68.99,8.017999999999999,Shopping,en,False,False
shopclues.com,3010,3010,232.0,26.7,4.23,Shopping,en,False,False
ssense.com,3026,3026,229.0,26.9,4.31,Shopping,en,False,False
chewy.com,3052,3052,214.0,31.8,5.45,Shopping,en,False,False
victoriassecret.com,3064,3064,210.0,33.5,5.87,Shopping,en,True,False
bigcartel.com,3135,3135,249.0,19.5,2.87,Shopping,en,False,False
autozone.com,3212,3212,236.0,20.6,3.2,Shopping,en,False,False
sportsdirect.com,3280,3280,181.0,42.1,8.55,Shopping,en,False,False
matchesfashion.com,3339,3339,196.0,29.4,5.5,Shopping,en,False,False
ulta.com,3357,3357,197.0,28.5,5.3,Shopping,en,False,False
takealot.com,3358,3358,202.0,26.5,4.81,Shopping,en,False,False
ebay.ie,3397,3397,218.0,20.8,3.5,Shopping,en,True,False
dx.com,3558,3558,222.0,17.0,2.8,Shopping,en,False,False
net-a-porter.com,3565,3565,188.0,26.1,5.09,Shopping,en,False,False
budsgunshop.com,3663,3663,263.65,57.42,7.994,Shopping,en,False,False
bookdepository.com,3848,3848,189.0,19.5,3.78,Shopping,en,False,False
vectorstock.com,3916,3916,194.0,17.0,3.21,Shopping,en,False,False
ae.com,3934,3934,161.0,28.6,6.53,Shopping,en,False,False
guitarcenter.com,3940,3940,181.0,20.1,4.06,Shopping,en,False,False
jcrew.com,3975,3975,173.0,22.0,4.67,Shopping,en,True,False
johnlewis.com,4002,4002,177.0,20.2,4.19,Shopping,en,False,False
zaful.com,4011,4011,166.0,24.0,5.31,Shopping,en,True,False
jd.id,4030,4030,209.0,13.2,2.32,Shopping,en,False,False
clothing-marketing.com,4068,4068,327.74,18.94,2.12,Shopping,en,False,False
qvc.com,4141,4141,160.0,24.4,5.62,Shopping,en,False,False
carfax.com,4151,4151,202.0,13.1,2.37,Shopping,en,False,False
michaels.com,4183,4183,166.0,20.9,4.61,Shopping,en,False,False
greenmangaming.com,4188,4188,185.0,15.7,3.11,Shopping,en,False,False
beforward.jp,4281,4281,130.0,42.9,12.1,Shopping,en,False,False
cabelas.com,4375,4375,167.0,17.8,3.91,Shopping,en,False,False
abebooks.com,4383,4383,195.0,12.3,2.31,Shopping,en,False,False
canadiantire.ca,4403,4403,161.0,19.2,4.39,Shopping,en,False,False
turbosquid.com,4461,4461,158.0,19.4,4.51,Shopping,en,False,False
zazzle.com,4478,4478,157.0,19.5,4.55,Shopping,en,False,False
panasonic.com,4586,4586,176.0,13.4,2.78,Shopping,en,False,False
ikman.lk,4587,4587,121.0,41.4,12.5,Shopping,en,False,False
lazada.sg,4589,4589,142.0,24.0,6.2,Shopping,en,True,False
romwe.com,4596,4596,150.0,20.4,5.01,Shopping,en,False,False
auspost.com.au,4685,4685,167.0,14.2,3.12,Shopping,en,False,False
vivino.com,4702,4702,279.94,16.85,2.21,Shopping,en,False,False
vans.com,4741,4741,153.0,17.4,4.2,Shopping,en,False,False
thermofisher.com,4756,4756,173.0,12.7,2.69,Shopping,en,False,False
canadapost.ca,4759,4759,192.0,10.1,1.92,Shopping,en,False,False
marksandspencer.com,4765,4765,140.0,22.2,5.84,Shopping,en,False,False
microcenter.com,4777,4777,145.0,19.6,4.95,Shopping,en,False,False
joom.com,4804,4804,174.0,12.1,2.55,Shopping,en,False,False
selfridges.com,4831,4831,140.0,20.3,5.3,Shopping,en,False,False
